2024-12-26 14:22:02,148 - INFO - Episode 6301/300000, Reward: 1.0, Loss: 0.0007, Epsilon: 0.900, end at: 46, eps/sec: 12.68, ETR: 386.13 min
2024-12-26 14:22:11,072 - INFO - Episode 6401/300000, Reward: 3.0, Loss: 0.0016, Epsilon: 0.899, end at: 46, eps/sec: 12.65, ETR: 386.79 min
2024-12-26 14:22:20,303 - INFO - Episode 6501/300000, Reward: 3.0, Loss: 0.0021, Epsilon: 0.897, end at: 46, eps/sec: 12.62, ETR: 387.65 min
2024-12-26 14:22:29,228 - INFO - Episode 6601/300000, Reward: 7.0, Loss: 0.0012, Epsilon: 0.896, end at: 46, eps/sec: 12.59, ETR: 388.26 min
2024-12-26 14:22:38,112 - INFO - Episode 6701/300000, Reward: 6.0, Loss: 0.0014, Epsilon: 0.894, end at: 46, eps/sec: 12.57, ETR: 388.82 min
2024-12-26 14:22:47,296 - INFO - Episode 6801/300000, Reward: 2.0, Loss: 0.0014, Epsilon: 0.893, end at: 46, eps/sec: 12.54, ETR: 389.57 min
2024-12-26 14:22:56,259 - INFO - Episode 6901/300000, Reward: 4.0, Loss: 0.0013, Epsilon: 0.891, end at: 46, eps/sec: 12.52, ETR: 390.14 min
2024-12-26 14:23:05,346 - INFO - Episode 7001/300000, Reward: 7.0, Loss: 0.0010, Epsilon: 0.890, end at: 46, eps/sec: 12.50, ETR: 390.77 min
2024-12-26 14:23:14,201 - INFO - Episode 7101/300000, Reward: 4.0, Loss: 0.0014, Epsilon: 0.889, end at: 46, eps/sec: 12.48, ETR: 391.23 min
2024-12-26 14:23:23,264 - INFO - Episode 7201/300000, Reward: 2.0, Loss: 0.0010, Epsilon: 0.887, end at: 46, eps/sec: 12.46, ETR: 391.80 min
2024-12-26 14:23:32,272 - INFO - Episode 7301/300000, Reward: 7.0, Loss: 0.0102, Epsilon: 0.886, end at: 46, eps/sec: 12.43, ETR: 392.32 min
2024-12-26 14:23:40,788 - INFO - Episode 7401/300000, Reward: 2.0, Loss: 0.0049, Epsilon: 0.884, end at: 46, eps/sec: 12.42, ETR: 392.50 min
2024-12-26 14:23:49,026 - INFO - Episode 7501/300000, Reward: 2.0, Loss: 0.0037, Epsilon: 0.883, end at: 46, eps/sec: 12.42, ETR: 392.49 min
2024-12-26 14:23:57,088 - INFO - Episode 7601/300000, Reward: 5.0, Loss: 0.0030, Epsilon: 0.881, end at: 46, eps/sec: 12.42, ETR: 392.36 min
2024-12-26 14:24:05,219 - INFO - Episode 7701/300000, Reward: 3.0, Loss: 0.0017, Epsilon: 0.880, end at: 46, eps/sec: 12.42, ETR: 392.28 min
2024-12-26 14:24:13,471 - INFO - Episode 7801/300000, Reward: 6.0, Loss: 0.0016, Epsilon: 0.878, end at: 46, eps/sec: 12.41, ETR: 392.27 min
2024-12-26 14:24:21,620 - INFO - Episode 7901/300000, Reward: 1.0, Loss: 0.0025, Epsilon: 0.877, end at: 46, eps/sec: 12.41, ETR: 392.19 min
2024-12-26 14:24:29,782 - INFO - Episode 8001/300000, Reward: 3.0, Loss: 0.0026, Epsilon: 0.875, end at: 46, eps/sec: 12.41, ETR: 392.12 min
2024-12-26 14:24:37,977 - INFO - Episode 8101/300000, Reward: 3.0, Loss: 0.0019, Epsilon: 0.874, end at: 46, eps/sec: 12.41, ETR: 392.07 min
2024-12-26 14:24:46,062 - INFO - Episode 8201/300000, Reward: 5.0, Loss: 0.0014, Epsilon: 0.872, end at: 46, eps/sec: 12.41, ETR: 391.95 min
2024-12-26 14:24:54,206 - INFO - Episode 8301/300000, Reward: 2.0, Loss: 0.0019, Epsilon: 0.871, end at: 46, eps/sec: 12.41, ETR: 391.87 min
2024-12-26 14:25:02,309 - INFO - Episode 8401/300000, Reward: 8.0, Loss: 0.0013, Epsilon: 0.869, end at: 46, eps/sec: 12.41, ETR: 391.76 min
2024-12-26 14:25:10,400 - INFO - Episode 8501/300000, Reward: 3.0, Loss: 0.0028, Epsilon: 0.868, end at: 46, eps/sec: 12.40, ETR: 391.64 min
2024-12-26 14:25:18,554 - INFO - Episode 8601/300000, Reward: 4.0, Loss: 0.0016, Epsilon: 0.867, end at: 46, eps/sec: 12.40, ETR: 391.56 min
2024-12-26 14:25:26,670 - INFO - Episode 8701/300000, Reward: 6.0, Loss: 0.0020, Epsilon: 0.865, end at: 46, eps/sec: 12.40, ETR: 391.46 min
2024-12-26 14:25:34,807 - INFO - Episode 8801/300000, Reward: 2.0, Loss: 0.0021, Epsilon: 0.864, end at: 46, eps/sec: 12.40, ETR: 391.36 min
2024-12-26 14:25:43,116 - INFO - Episode 8901/300000, Reward: 5.0, Loss: 0.0024, Epsilon: 0.862, end at: 46, eps/sec: 12.40, ETR: 391.36 min
2024-12-26 14:25:51,364 - INFO - Episode 9001/300000, Reward: 6.0, Loss: 0.0019, Epsilon: 0.861, end at: 46, eps/sec: 12.39, ETR: 391.32 min
2024-12-26 14:25:59,624 - INFO - Episode 9101/300000, Reward: 2.0, Loss: 0.0011, Epsilon: 0.859, end at: 46, eps/sec: 12.39, ETR: 391.29 min
2024-12-26 14:26:08,048 - INFO - Episode 9201/300000, Reward: 7.0, Loss: 0.0013, Epsilon: 0.858, end at: 46, eps/sec: 12.38, ETR: 391.34 min
2024-12-26 14:26:16,469 - INFO - Episode 9301/300000, Reward: 4.0, Loss: 0.0029, Epsilon: 0.857, end at: 46, eps/sec: 12.38, ETR: 391.39 min
2024-12-26 14:26:24,975 - INFO - Episode 9401/300000, Reward: 1.0, Loss: 0.0013, Epsilon: 0.855, end at: 46, eps/sec: 12.37, ETR: 391.48 min
2024-12-26 14:26:33,383 - INFO - Episode 9501/300000, Reward: 6.0, Loss: 0.0016, Epsilon: 0.854, end at: 46, eps/sec: 12.37, ETR: 391.51 min
2024-12-26 14:26:41,743 - INFO - Episode 9601/300000, Reward: 2.0, Loss: 0.0015, Epsilon: 0.852, end at: 46, eps/sec: 12.36, ETR: 391.51 min
2024-12-26 14:26:50,143 - INFO - Episode 9701/300000, Reward: 0.0, Loss: 0.0021, Epsilon: 0.851, end at: 46, eps/sec: 12.36, ETR: 391.53 min
2024-12-26 14:26:58,766 - INFO - Episode 9801/300000, Reward: 1.0, Loss: 0.0015, Epsilon: 0.849, end at: 46, eps/sec: 12.35, ETR: 391.66 min
2024-12-26 14:27:07,297 - INFO - Episode 9901/300000, Reward: 3.0, Loss: 0.0014, Epsilon: 0.848, end at: 46, eps/sec: 12.34, ETR: 391.73 min
